,text
0,"biological essentialism terfs funny because apparently vouch equality, insist moments time you're inferior unable compete with ""biological men"" maybe you're just good sports bro?"
1,mighty funny nobody black sports media standing with kyrie y'all really some jokes
2,"time full barstool sports type ""funny"" accounts consistently complained people were stealing their jokes like that measure have beef with entire audience call daddy podcast what tell"
3,mighty funny nobody black sports media standing with kyrie y'all really some jokes
4,that andre read made swerve funny sports?
5,agree believe trans rights genetically it's even funny much advantage that gives them sports that's completely unfair
6,constantly making wnba women's sports isn't funny
7,"funny things come full circle, covered chris young player tells she's thrilled he's been named icymi streaming sports sportstalk moms momlife"
8,constantly making wnba women's sports isn't funny
9,"winter sports funny, especially when getting goofy with luckily with expert goofy, only good things happen hyuck! goofy iceskating wintersports disneycharacters disneyfriends winterwonderland disneyside disneylandparis disneyparks"
10,"funny things come full circle, covered chris young player tells she's thrilled he's been named icymi streaming sports sportstalk moms momlife"
11,"it's funny that liberals, purport feminists favor women's rights, dead destroying sports some women making them compete with biological hypocrisy irony, meet democratic party least tulsa gabbard trying defend women"
12,"disagree afternoon host tough listen sure don't have look hard find funny, intelligent sports talk radio chicago 4hrs"
13,lsu's self imposed penalty laugh loud funny
14,"funny list something from every column except ""supposed"" recommend combat sports kind, though cracking workout"
15,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
16,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
17,here some things kinda like myself cause today crushed have natural inclination most sports burn good writing funny
18,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
19,follow many funny that feeds algorithm shows nothing sports
20,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
21,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
22,sorry didnt expect fucking hockey sports anime this funny
23,that funny sports really used give whoopings
24,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
25,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
26,watching video couple guys predicting awards says play sports games played none these tony hawk better pissed found funny care that much about group games didn play?
27,espn getting into sports betting content because barstool proved successful with kinda funny
28,"knew that lazar used watch some races funny cars lake told about nine sports model spaceships that they have there told about element 1983, united states flying eggs that point spot anywhere then instantly"
29,"women face covering washable, funny animal print breathable half face bandana elastic protective cover outdoors sports hiking cycling"
30,"feel good people there, they need move newsmax oann don't trust anymore longer fair, longer balanced what balance anyway? facts, lies? funny thing like sports, after awhile don't miss"
31,this insecure funny
32,"mean, stephen hardest workers sports media it's became millionaire don't want detract from individually just think it's funny this right after espn axed"
33,"dont care there were nothing vets thibs aint gking that whats funny yall know that shit talking about talent issues coaching yall saying (because yall hate randle) that thibs ""great coach"" stuff flies window"
34,bruh some these sports journalists real funny light
35,"host 'manitowoc minute' leaves voicemail lambeau field ""remember when used have them people over? them were days"
36,"agreed point yeah, it's funny with brandon doesn't feel like that long sports clerk well, which makes feel"
37,"this youth sports parent support group video funny sadly real many long story short, keep perspective this you!"
38,lies here portnoy much smarter dude than yall think isn't just funny talks about bets sports games trolls people internet
39,"host 'manitowoc minute' leaves voicemail lambeau field ""remember when used have them people over? them were days"
40,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
41,"really funny that media which means multiple outlets singular entity like that follows sports know differences between espn, sports, athletic, espn athletic today,"
42,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
43,funny makes sports news entertaining unlike kellerman worst tales ever
44,"funny politicians news media demanding that sports shut down, they want restaurants other small businesses closed"
45,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
46,"""the champions league twist injury roulette"" rory smith baseball love lineup homerun funny haha vegas betsystem bookie reds mets video money fantasy night"
47,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
48,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
49,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
50,from amazon
51,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
52,cowboys funny they worst team sports history
53,manish absolutely slammed completely roasted this just jets side note funny that thumbnail picture what manish doing??
54,been extra funny hearing philly sports radio freak week over hurts wentz situation since play them sunday
55,"which funny since elite sports team (seahawks, lakers, etc) business"
56,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
57,"this some funny shit! what curfew going does covid home after apparently curfew little impact, being country hour covid numbers 47,553 monday night football does covid like sports either?"
58,oliver khan kankam boadu some funny guys sports kumasi therapeutic
59,"pick funny arjie wants know boys aren allowed girly things, while girls allowed play sports with boys what makes happy?"
60,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
61,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
62,"it's funny little yarn that, after jettisoned name ""redskins"" 1996, kindly school administrator visit stores remove ""redskins"" apparel come 2044, might supporters think about 2020?"
63,"became then ronson actually moved started doing monthly comedy shows with other really funny people zero pretense aplomb love always wanted read short, only heard good things about though averse reading about american sports"
64,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
65,"winter sports funny, especially when getting goofy with luckily with expert goofy, only good things happen hyuck! goofy iceskating wintersports disneycharacters disneyfriends winterwonderland disneyside disneylandparis disneyparks"
66,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
67,"allowing into women sports just opens door beat other just compete against women have every tom, harry,dick(yes funny) trying away with"
68,"man, this trumper coping hard funny"
69,constantly making wnba women's sports isn't funny
70,"funny thing believe isn't about race much good towards racial issues face comes from sports fields gonna that hill with players volunteers from walks life, black, hispanic, white, gay, straight, poor wealthy"
71,"this funny this nnyy!! hello army sports have seen this image, it'a also really fucnny! think would like this army esports real like this cyber puck post army sporst! look this image hello hello"
72,"winter sports funny, especially when getting goofy with luckily with expert goofy, only good things happen hyuck! goofy iceskating wintersports disneycharacters disneyfriends winterwonderland disneyside disneylandparis disneyparks"
73,constantly making wnba women's sports isn't funny
74,know it's funny amazing coach have best football season history then have season like totally garbage some these sports commentators teams will have seasons nobody super bowl here
75,"thanks quote glad think funny journalist years started sports could tell most athletes cool, normal, they respectful most reporters same there always narcissists like kyrie"
76,funny policing womens' ability participate sports more important legislation than providing food shelter poor people bent
77,"fantastic sports journalist even more fantastic person know brown know someone genuine, funny, engaging, just amazing person congrats legend!"
78,constantly making wnba women's sports isn't funny
79,newblogpost sephiroth smash bros easyallies reaction youtube gamingculture hiphopculture sports woke dope funny content share gamingblog hiphopblog
80,hahaha allen fallon lmao funny back work find some good sports news please
81,constantly making wnba women's sports isn't funny
82,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
83,know what funny wanna watch kings here area gotta league pass then shows sports california
84,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
85,"need alpha play sports, with else funny joke would gamer"
86,"winter sports funny, especially when getting goofy with luckily with expert goofy, only good things happen hyuck! goofy iceskating wintersports disneycharacters disneyfriends winterwonderland disneyside disneylandparis disneyparks"
87,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
88,"it's funny little yarn that, after jettisoned name ""redskins"" 1996, kindly school administrator visit stores remove ""redskins"" apparel come 2044, might supporters think about 2020?"
89,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
90,"it's funny little yarn that, after jettisoned name ""redskins"" 1996, kindly school administrator visit stores remove ""redskins"" apparel come 2044, might supporters think about 2020?"
91,"hahahaha such funny sports, just like girls from group stan"
92,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
93,constantly making wnba women's sports isn't funny
94,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
95,"sports celtic issue appealing fans stage demonstration sunday breaks covid isolations rules, funny still silence rules broke birthday party,"
96,funny guys that have never picked baseball their life ones voting hall fame? weren talented enough play sports gonna decide schilling shouldn hall fame cause they agree with
97,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
98,funny bodies different played sports growing mins hiit good more couple weighed thrust supersets??? legs absolute jell
99,"funny people know actually care about women's sports welcome trans athletes play, everyone who's concerned about this either sexist blowhard sportsball weenie, cynically leveraging sport other people care about"
100,what funny your essays this season have been voiced legendary this one? this
101,pretty funny kids brought trainer sports psychologist practice though
102,remember when hillary clinton said tulsi gabbard russian asset? that funny
103,constantly making wnba women's sports isn't funny
104,funny when people diehard fans sports teams that across country those same people that long distance relationships
105,"congrats, henry funny story decided enter sports journalism 2005 trade deadline your story giants lose, winn sporting green that thought cool made want sportswriter"
106,"funny people know actually care about women's sports welcome trans athletes play, everyone who's concerned about this either sexist blowhard sportsball weenie, cynically leveraging sport other people care about"
107,"charlie berens speaks packers fans everywhere with funny, touching video about missing lambeau"
108,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
109,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
110,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
111,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
112,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
113,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
114,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
115,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
116,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
117,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
118,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
119,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
120,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
121,"discourse around transness being centered bathroom use, sports eligibility, military service sooooo funny because trans people want join military, play sports, bathroom"
122,sports funny talk they shit much fine talk enough fine much want podcast things could would worry death make disappear farm neighbors with jake wilderness
123,funny just years narrative different
124,writing funny sports related poems dementia where could send read looking forward tonight's show alex reminds brother lost last year
125,"dunno, it's quite funny serious note take care man!! loving sports sports stay strong youl smash"
126,"have second captains based inireland, focus premier league covers other sports also, presenters smart funny, just like yourself"
127,"funny, best offense good defense little application real life places sports doesn transfer success life"
128,"holy shit lady kind yours funny apparently fuck transgender people what exactly you? like really tired discrimination female army vet, should understand discrimination, pass first sports some"
129,clubhouse sports rooms arguments kinda funny
130,undisputed favorite sports talk show shannon sharpe funny
131,always think funny fans think they entitled some sort insight from athletes after competition fuck talking sports media most them niggas dickheads fans suck
132,always think funny fans think they entitled some sort insight from athletes after competition fuck talking sports media most them niggas dickheads fans suck
133,undisputed favorite sports talk show shannon sharpe funny
134,shannon sharpe easily funniest sports analyst skip bayless jeff gundy funny because they hating
135,that love funny sports memes don't hesitate join greatest memebase
136,"from jsonline packersnews charlie berens speaks packers fans everywhere with funny, touching video about missing lambeau packers"
137,"know funny, tens millions kids year across globe deprived sports nutrition, equipment, teams training somehow just find your concern your twitter thread missing somewhere?"
138,dont care about trans playing womens sports think funny
139,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
140,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
141,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
142,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
143,"culture sports podcast that tries determine ""how many"" someone something also funny schtick karaoke whenever possible hope enjoy!"
144,think deserve know baby doing growing faster than expected? genius with maths? does sports? funny?
145,"funny they didn't anything about lack diversity say,"
146,just watched album review members never have thought that obsessed over this trio they funny team sports kimseokjin jungkook jhope
147,funny crazy romantic drawing sports fffffff perfect activeeee maybe gooood
148,"there really funny chapter these rules michael showalter's book funnypants ""the wrong never dances,"" order defeat evil spirit have yell it,"" ""security guards always watch sports small, tvs, allowing sneak needed"
149,constantly making wnba women's sports isn't funny
150,"biggest poor sports cowards world! didn win, keep trump anyway gtfoh!"
151,"from jsonline packersnews charlie berens speaks packers fans everywhere with funny, touching video about missing lambeau packers"
