,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,DarraghBerry,"25, Deputy Editor with @DublinLive. Formerly of @JOEdotie, @WesternPeople and @LovinDublin. To Win Just Once💚❤️","Dublin City, Ireland",1933,932,4902,2,"It's not the first time these old foes have come to scraps... Watch below as @DarraghBerry and @alexdunnesf face off ahead of the All Ireland Final #DUBvMAYO @IrishMirror 

https://t.co/zOtyhrlr6H",[]
1,WalkerGrace,,,357,104,43633,0,Worldwide Sport Supply Free Shipping on $99  Orders https://t.co/nGyqUYjk9E #johnkelly,['johnkelly']
2,StephenOsarenr1,"God's Tool On Earth 
Political Sciencist🎓
An Intovert Who Just Want To Explore  🌏🌏
Born Sagittarius ♐
Chase Your Dreams 🏅🏅
Put God First 🙏
ManUtd Fan🛑","New City, NY",844,259,64563,22,"Jurgen Klopp has criticised Premier League clubs for voting against the use of five substitutes for a third time.

Read more: https://t.co/UWoRLQLqHZ

#bbcfootball #PL #LFC https://t.co/5xAUXmVX96",[]
3,NExol94,𝒮𝓊𝓃𝓁𝒾𝑔𝒽𝓉 𝓉𝒽𝒶𝓉 𝒻𝒾𝓁𝓉𝑒𝓇𝓈 𝓉𝒽𝓇𝑜𝓊𝑔𝒽 𝓉𝒽𝑒 𝓁𝑒𝒶𝓋𝑒𝓈 𝑜𝒻 𝓉𝓇𝑒𝑒𝓈. 𝓌𝑒 𝒶𝓇𝑒 𝑜𝓃𝑒 𝐸𝒪𝒳_𝐿,,192,22,58419,0,"Become that actor and we will sport you,we have your back take your step slowly but in smart way our beautiful prince 👑 you did so well today proud of you 👏 And I’m sorry for my English it’s not my first language 🙏 
@gulfkanawut #GulfKanawut https://t.co/eOBJ7rfJ9F",['GulfKanawut']
4,platini954,🏁 I used to rob people and sell drugs. Proceed with caution. 1/3 of @ICU954 | #OddCast coming soon| Management: @soygatita11,Ukraine,3035,12312,118967,0,Atlanta wilding wilding. That’s a different sport of wilding.,[]
5,MessiGoat10l,"Lionel Messi, Sofia Carson and Sabrina Carpenter stan account 🔥🥰

Follow back mfs 😡👍",On Messi's planet ,623,1287,25102,0,"@MessixFC10 @FootyThreads_ Yeah, I'll see what to do once Messi leaves this sport, atm I don't know anything",[]
6,marco_agosto,"Fan of Pro wrestling, Comic Books, Good Music and Television",The Mid West,562,103,5429,0,@EmpireReignsX So pure. One of the best pure athletes to ever wrestle. Pure of heart. She is the type of person you want in a locker room. A real leader. She uplifts and never tears people down. She is someone that has despite road blocks changed the sport for the better.,[]
7,LRGKREG,living,"Savannah,  Ga",881,928,70632,157,"Randy Moss says he’s the best receiver in NFL history when it comes to dominating the sport and changing the game of football. Terrell Owens is second. Jerry Rice is third or fourth.

Moss: “I don’t live on statistics.” https://t.co/gxgVSTFtmu",[]
8,martinboyd010,,Who's asking?,647,615,13999,0,@pgor303 @STEPHENREDPATH2 @ru5ty79 @davidbo43404076 Bit of sawdust and he’ll fine for the 2nd half if not the he’s no good to the rest of the boys... this whole ”oh look at me I’ve been kicked in the shin” doesn’t win you any friends in this sport,[]
9,OpenStance,"Baseball fan, baseball player, @RedSox & @Rockies rooter, ballpark aficionado. Never worn a tie to a ball game. ⚾","Denver, Colorado",127,108,17286,13,"My reprint col: I never met Satchel Paige (who is now a ""major leaguer""). But I knew Bill Veeck who knew Paige as well as anyone on the MLB side of the sport. When Paige died in '82, I called Veeck to ""tell me about Satchel."" Man, did he ever. Enjoy. https://t.co/hNQBAFRjmd",[]
