,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Eduardo14716074,,,154,204,10408,10972,"BREAKING: Given the fact that there are dueling electors from multiple states Joe Biden is not the president-elect. If it is determined that Joe Biden won on January 6th he will be the president-elect, but not until then. Anyone who says otherwise is spreading fake news.",[]
1,zsanjook,에이티즈 최산 ／ 𝙒𝙧𝙞𝙩𝙩𝙚𝙣 𝙗𝙮 𝙖 𝙛𝙖𝙣 ： ❝My story inaugurates when I dance. Through dint of my performance I spactacle you fantasy.❞,Bilingual: Eng & Ind,14,12,267,0,"@itzlovelia Is there no fix for that or you just basically gotta wait..? 😥
 
It's not a big news. You've caught my attention since your debut. Ok, this is suddenly turns into a confession session.",[]
2,lorrainebomber,Proud member Essendon Football Club. #DonTheSash #MightyBombers #StandByHird #J34,"Melbourne, Australia",1341,1358,76586,46,https://t.co/WEsiLqBxzF Labor insiders say their research shows that Morrison’s high approval ratings are in fact quite brittle.,[]
3,petewest1966,Full time Trinity Fan. #WAWAW 🦉🦉.⚜️🇬🇧🇬🇧🇬🇧,here just here. ,765,319,8947,315,"Headlines like 'MUTANT COVID' help absolutely nobody and nothing. It's almost like bad news gets more attention.

Changes happen. @BallouxFrancois who is an expert in this field says - 'there is currently no cause for panic.'

I agree with Francois. Caution, not panic.",[]
4,ladyrare1,,UK,2591,1603,169167,4,Four children who died in house fire were 'so neglected they 'communicated by grunting' and had 50 accidental injuries' https://t.co/SKuc4OVnHn,[]
5,krishnaraomg,,,23,1,150,0,"@KTR_News @KTRTRS Dear ktr sir, we are from Sri venkataramana colony. Kistareddy pet  gp.ameenpoor mo. Sir we don't have drinking water in our colony.  Many times we went  Hmws office ameenpoor and srnager office also. They said we send proposal to CMO. Till today",[]
6,4tybin,Doing the right thing should not be a matter of what political party you affiliate with. Patriotism is putting Country over Party. No LISTS. I REPORT BOTS,PNW USA,3005,2218,332224,4535,"The White House’s chief security officer just had his leg amputated bc of COVID, and his family has had go to GoFundMe to help pay for it all. 

“The White House declined to say whether Trump has contributed to the effort.” 

https://t.co/MjlcYSKW0v https://t.co/l5yndEuTjG",[]
7,merrydrugden,CJ || serve me the sky with a big slice of lemon 🍋 ll she/her/they/them,🇵🇭,802,292,113530,0,every time i look at the facebook reactions to news headlines it’s always an influx of laughing reactions lmfaoo,[]
8,rubycooper007,"Strong with a heart of gold 💖 An English Persian🌹 Zoroastrian And Spiritual  🌹A Secularist. Whistleblower.
Loves kindness & dogs,hates cruelty #freeiran #waspi",#freeassange,4995,3818,221883,249,"""According to social media activists, the families who witnessed their loved ones’ bodies noticed that some body organs had been removed in numerous cases.""
#Iran
#HumanRights
https://t.co/YKMpGvj3vY",[]
9,Stuperbeeeee,🇪🇸 | UST,UST,794,96,13332,2,"EXCELSIOR!: STAN LEE and JACK KIRBY biopic script makes 2020 BLACK LIST:

https://t.co/ptMWedjpAa https://t.co/wwDmVnlJ5W",[]
10,CherylTurner3,Snr Research Fellow Learning & Work Institute; WEA Ambassador; Chair Governors @fircroftcollege; bk ‘Living by the Pen'(Routledge)18C prof women writers,,262,572,5114,6,Unconscious bias training to stop for civil servants. We spoke to the @BBCNews about the need for stronger anti-racism training at work https://t.co/MijvtMCRmx,[]
11,CBrown52791704,I’ve run my own business for many years. I’m kind and appreciate people.,,79,178,53434,39,"New Variant Of Coronavirus Could Be Responsible For 'Faster Spread', Matt Hancock Says. The word “could” is widely used in politics and MSM. It means bollox https://t.co/9ZHzq7aMRg",[]
12,chryslap,Ukrainian chick. Free-lance writer. Bleeding heart. Recovering foodie.,,4914,1479,89595,4,"Dec 14, 4 firing attacks by Russia's forces (RF). Heaviest at Shumy village near occupied town of Horlivka - anti-tank rocket &amp; grenade launcher fire. More firing around #Avdiivka, where #OSCE reported new RF fortifications/trenches dug towards Ukr lines https://t.co/4OOGsTJID2 https://t.co/SqKdJB9V3m",[]
13,MyZakirKhan,"@Tricecomp  Founder, Consultant, of Domestic & International of Marketing & Export Business Development Roll Forming Machine & Automation Shutter, Door And Gate","Bengaluru, India",2053,933,11125,0,"Lorry crushes 4 children to death, leaves 12 others injured in Andhra’s Kurnool 
https://t.co/rr6jqULqDI https://t.co/Z80HUuyQfk",[]
14,adamia69,,Peshawar,894,446,11121,81,"Great News For Economy 

Large Scale Manufacturing LSM grew more than 5.4% from July to October. 

That is an amazing sign of economic growth. 

All signs are pointing towards a great economic strength. Consumer goods and auto sales have already shown demand.

PAKISTAN RISING",[]
15,leedsstudentmed,An NHS GP practice providing healthcare to students living and studying in Leeds,"Leeds, United Kingdom",205,475,2144,0,Landmark change to blood donation criteria https://t.co/8wvJSOppjs,[]
16,ioniqman,🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇵🇱 🇺🇸TRUMP WON END OF STORY #TRUMP2020 twitter 🖕😅🍿time https://t.co/TMzTCncP7l watch this America https://t.co/n0272EkFoC👈,", England",750,1135,33927,1,"@kathrynpra @Aag144 @Silence_is_1 @catsofoxford @parsleyfarmer @DaveOneSixNine @tuppence1843 @HauvenTweet @ioniqman @BendyGardiner @tmf71767239 @BetfairCS @Betfair @MaltaGamingAuth @Maximus_4EVR Listen, congrats on your win, enjoy it and I mean that.

Good  news is I'm also going to win when betfair pay me my winnings when Trump wins",[]
17,MaxSmit48439143,"Former Republican never a Retrumplican. I support Biden-Harris, LGBTQ, and BLM.","Any town, USA",66,4,260,0,The Serial Golf Cheat in the White House | The New Yorker https://t.co/AU8RVRMPrf,[]
18,Z4ch3ryW,I identify as human. I drink too much coffee. I’m not a fan of a pandemic. That’s all for now.,"London, England",392,52,335,0,"Another monolith has appeared roadside in Austin, Texas. On it is inscribed “Merry Christmas to Earth”.  #monoliths #aliens #Texas 

https://t.co/FXnEVUJux4","['monoliths', 'aliens', 'Texas']"
